"","ATT.OFF","S.E.","CI.lower","CI.upper","p.value","count.off"
"-2",-0.108658344746377,0.142095626324115,-0.343266279763706,0.20784338245966,0.52,17
"-1",-0.440290796131855,0.153615030841613,-0.714019520547599,-0.153302329600582,0,223
"0",-0.300223771995713,0.143067010311008,-0.593208312252503,-0.0405519962203567,0.0266666666666667,223
"1",-0.163121939490921,0.102238984527173,-0.349461480256723,0.0378809880142559,0.193333333333333,223
"2",-0.189825172462055,0.0866821079271469,-0.339086182583191,-0.0104656285366839,0.0333333333333333,212
"3",-0.121350382490616,0.119981457805704,-0.3522406258122,0.103054217864654,0.4,204
"4",-0.0146110763322969,0.100937659663971,-0.22079238493499,0.189507152190579,0.96,201
"5",-0.0481128509482177,0.0697696743404872,-0.159726346761807,0.124508763210953,0.52,195
"6",0.0164622524237045,0.0857826148187725,-0.145935243369797,0.180129991251533,0.973333333333333,184
"7",0.00361258230479719,0.0870142239607138,-0.203171728383299,0.146046905351815,0.913333333333333,166
"8",0.13249781199326,0.094475748035467,-0.058969704929219,0.302972898586438,0.246666666666667,154
"9",0.0684115519172719,0.0947978487476965,-0.113054861054805,0.240272227839343,0.526666666666667,151
"10",0.0677922276962977,0.0843612220665794,-0.115922012105298,0.207302671357343,0.48,151
"11",0.0177754159790619,0.0917426354808056,-0.172736339067396,0.198447096927634,0.833333333333333,149
"12",-0.0117208456475355,0.0847451047441492,-0.167726981042966,0.159541390690032,0.933333333333333,148
"13",-0.122476674420605,0.0826691065591167,-0.265217371112162,0.0586709241446831,0.22,147
"14",-0.0294530098559667,0.0659497872909671,-0.153458154156097,0.106116972328924,0.726666666666667,144
"15",0.0609581267181345,0.0970151086814467,-0.124292554228476,0.258476721729337,0.44,140
"16",0.0605265161521298,0.107724546735252,-0.155043875361129,0.25376653350232,0.68,138
"17",0.0291494230286472,0.119883104150637,-0.240043208103801,0.238712462093474,0.773333333333333,131
"18",-0.179441197128743,0.174543817187717,-0.523449720356046,0.133218849569791,0.333333333333333,128
"19",0.169312013222866,0.142128853708031,-0.134485803962551,0.40676793203233,0.38,125
"20",0.2867592022816,0.14579126314133,-0.00458028968626948,0.564684736052598,0.06,125
"21",0.143000514974199,0.140702591288189,-0.152316749569581,0.390903024422913,0.38,125
"22",-0.238409369368444,0.208341166585563,-0.635495382433536,0.165303718911492,0.306666666666667,125
"23",0.20463695825493,0.167545505625541,-0.11928133188592,0.485331493464453,0.326666666666667,124
"24",0.112456939708797,0.162365121257786,-0.206641870447057,0.398885810137468,0.686666666666667,123
"25",0.0490608311932883,0.178770390384819,-0.289329467700739,0.412577532666452,0.713333333333333,122
"26",0.396472440142767,0.227245973559304,-0.0744978862433402,0.785530575690817,0.133333333333333,122
"27",0.252149523733497,0.147382959094475,-0.0668240442231381,0.516166671484039,0.0933333333333333,121
"28",0.124420041381694,0.122594964050388,-0.116262097096357,0.342011842440426,0.306666666666667,121
"29",0.0165946066815868,0.0935738719501426,-0.177515228087097,0.19408601114823,0.933333333333333,121
"30",0.0528266861458081,0.164111496469192,-0.240703145770912,0.409432720637032,0.72,120
"31",0.227653211247213,0.11498169971701,0.0174585692767337,0.469854091492813,0.0266666666666667,120
"32",0.303686047375223,0.11088142176167,0.0739813593974405,0.529528608837945,0,116
"33",0.164605439423357,0.140788151809718,-0.15079463107698,0.399834253197463,0.333333333333333,105
"34",0.0502561150680606,0.171767728829629,-0.229129386792077,0.402468949172533,0.793333333333333,102
"35",0.275130944729593,0.192271606692268,-0.0902831966475928,0.68867282810843,0.166666666666667,94
"36",0.107677486936487,0.109828341807049,-0.075430390595948,0.325784294571423,0.333333333333333,84
"37",0.0604357046474263,0.128308335411636,-0.196597023191664,0.29514533496335,0.753333333333333,73
"38",-0.158957078307551,0.130763014241771,-0.390901750091284,0.106403576280057,0.346666666666667,68
"39",0.163531321784573,0.127641978655824,-0.103178756468054,0.396496462419588,0.206666666666667,66
"40",-0.107717253831928,0.100649987768416,-0.285786978636586,0.0988356737701503,0.306666666666667,58
"41",-0.105260460629069,0.0975821039986805,-0.287233133620034,0.0682597771264883,0.32,57
"42",-0.2876156982579,0.0776408470713016,-0.440466877843285,-0.126056564649431,0,57
"43",-0.156804916686804,0.111095511252417,-0.375620986469336,0.0514965012452233,0.173333333333333,54
"44",-0.14786863709089,0.158092370541415,-0.405190862951356,0.19310242204691,0.413333333333333,51
"45",-0.0406023282342456,0.103645594737891,-0.225293041427215,0.183336402902939,0.706666666666667,48
"46",-0.25365403994846,0.144077739501769,-0.529468515831507,0.0196192107158781,0.0733333333333333,44
"47",-0.0496688266637774,0.0873816539810358,-0.222015174525347,0.123339316827545,0.526666666666667,42
"48",-0.0549791408858895,0.123690892787109,-0.255375006419106,0.214455486858724,0.626666666666667,41
"49",-0.142356585703626,0.125943813045898,-0.343499494047587,0.148215437462863,0.3,40
"50",0.0802816468855914,0.11129976033041,-0.119084404245236,0.319345372550401,0.473333333333333,39
"51",0.134559765859466,0.166340943772448,-0.15457158857037,0.487961072573292,0.426666666666667,38
"52",0.0812738079925376,0.105133243957974,-0.159692556195265,0.279419049228369,0.38,37
"53",-0.137632992297265,0.106956990704318,-0.335830347406805,0.067122467909375,0.153333333333333,34
"54",0.178476280013864,0.337894369073073,-0.401259143402004,0.859055437864483,0.666666666666667,9
